.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
|----------|--------|----------------------------------------------------------|
|          |        |                                                          |
| NC012122 | A54000 | TABLE A MNEMONIC MSTTB001                                |
|          |        |                                                          |
| ASCAT1B2 | 312061 | ASCAT Level 1b and level 2 data                          |
| ASCAT1BD | 312058 | ASCAT level 1b data                                      |
| ASCATHDR | 301125 | ASCAT header information                                 |
| YYMMDD   | 301011 |                                                          |
| HHMMSS   | 301013 |                                                          |
| LTLONH   | 301021 |                                                          |
| ASCAT1BC | 312055 | ASCAT level 1b cell information                          |
| ASCATSG0 | 321030 | ASCAT sigma-0 information                                |
| SCATSMST | 312060 | Scatterometer soil moisture data                         |
| SCATWNDD | 312059 | Scatterometer wind data                                  |
| SCATWNDC | 312056 | Scatterometer wind cell information                      |
| AMBIGWND | 312057 | Ambiguous wind data                                      |
|          |        |                                                          |
| OGCE     | 001033 | Identification of originating/generating centre          |
| GSES     | 001034 | Identification of originating/generating sub-centre      |
| SWID     | 025060 | Software identification                                  |
| SAID     | 001007 | Satellite identifier                                     |
| SIID     | 002019 | Satellite instruments                                    |
| DOMO     | 001012 | Direction of motion of moving observing platform         |
| YEAR     | 004001 | Year                                                     |
| MNTH     | 004002 | Month                                                    |
| DAYS     | 004003 | Day                                                      |
| HOUR     | 004004 | Hour                                                     |
| MINU     | 004005 | Minute                                                   |
| SECO     | 004006 | Second                                                   |
| CLATH    | 005001 | Latitude (high accuracy)                                 |
| CLONH    | 006001 | Longitude (high accuracy)                                |
| PSH1     | 005033 | Pixel size on horizontal - 1                             |
| ORBN     | 005040 | Orbit number                                             |
| CTCN     | 006034 | Cross-track cell number                                  |
| HOAU     | 010095 | Height of atmosphere used                                |
| LULAU    | 021157 | Loss per unit length of atmosphere used                  |
| BEAMC    | 021150 | Beam collocation                                         |
| BEAMI    | 008085 | Beam identifier                                          |
| RAIA     | 002111 | Radar incidence angle                                    |
| ANAZ     | 002134 | Antenna beam azimuth                                     |
| BKST     | 021062 | Backscatter                                              |
| RARE     | 021063 | Radiometric resolution (noise value)                     |
| AKPEQ    | 021158 | ASCAT KP quality estimate                                |
| ASGU     | 021159 | ASCAT sigma-0 usability                                  |
| AUSY     | 021160 | ASCAT use of synthetic data                              |
| ASDQ     | 021161 | ASCAT synthetic data quality                             |
| ASOAQ    | 021162 | ASCAT satellite orbit and attitude quality               |
| ASARC    | 021163 | ASCAT solar array reflection contamination               |
| ATPQ     | 021164 | ASCAT telemetry presence and quality                     |
| AERFP    | 021165 | ASCAT extrapolated reference function presence           |
| ALFR     | 021166 | ASCAT land fraction                                      |
| DBID     | 025062 | Database identification                                  |
| SSOM     | 040001 | Surface soil moisture (ms)                               |
| EESSM    | 040002 | Estimated error in surface soil moisture                 |
| EES40    | 021151 | Estimated error in sigma-0 at 40 degrees incidence angl  |
| S40IA    | 021152 | Slope at 40 degrees incidence angle                      |
| EEL40    | 021153 | Estimated error in slope at 40 degrees incidence angle   |
| SMOS     | 021154 | Soil moisture sensitivity                                |
