.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
| PCCF     | 033007 | PERCENT CONFIDENCE                                       |
| MAQC     | 033035 | MANUAL/AUTOMATIC QUALITY CONTROL                         |
| NCTH     | 033036 | NOMINAL CONFIDENCE THRESHOLD                             |
| AMVQ     | 033066 | AMV QUALITY FLAG                                         |
| CORN     | 033215 | CORRECTED REPORT INDICATOR                               |
| SWQM     | 033216 | SDMEDIT SATELLITE WIND QUALITY MARK                      |
| BUHD     | 035021 | BULLETIN BEING MONITORED (TTAAii)                        |
| BULTIM   | 035022 | BULLETIN BEING MONITORED (YYGGgg)                        |
| BORG     | 035023 | BULLETIN BEING MONITORED (CCCC)                          |
| BBB      | 035194 | BULLETIN BEING MONITORED (BBB)                           |
| SEQNUM   | 035195 | CHANNEL SEQUENCE NUMBER                                  |
| COTH     | 040038 | CLOUD PARTICLE SIZE                                      |
| RRSTG    | 058008 | RAW REPORT STRING                                        |
|          |        |                                                          |
|------------------------------------------------------------------------------|
| MNEMONIC | SEQUENCE                                                          |
|----------|-------------------------------------------------------------------|
|          |                                                                   |
| NC005015 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005015 | MNTH  DAYS  HOUR  MINU  SECO  TPHR  CLAT  CLON  SIDP  SWCM  SCCF  |
| NC005015 | SCBW  CCST  TCMD  LSQL  OFGI  SWQM  HAMD  PRLC  WDIR  "GQCPRMS"3  |
| NC005015 | WSPD  "GQCPRMS"3  "TWIND"4  "MDPT"10                              |
|          |                                                                   |
| NC005016 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005016 | MNTH  DAYS  HOUR  MINU  SECO  TPHR  CLAT  CLON  SIDP  SWCM  SCCF  |
| NC005016 | SCBW  CCST  TCMD  LSQL  OFGI  SWQM  HAMD  PRLC  WDIR  "GQCPRMS"3  |
| NC005016 | WSPD  "GQCPRMS"3  "TWIND"4  "MDPT"10                              |
|          |                                                                   |
| NC005017 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005017 | MNTH  DAYS  HOUR  MINU  SECO  TPHR  CLAT  CLON  SIDP  SWCM  SCCF  |
| NC005017 | SCBW  CCST  TCMD  LSQL  OFGI  SWQM  HAMD  PRLC  WDIR  "GQCPRMS"3  |
| NC005017 | WSPD  "GQCPRMS"3  "TWIND"4  "MDPT"10                              |
|          |                                                                   |
| NC005018 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005018 | MNTH  DAYS  HOUR  MINU  SECO  TPHR  CLAT  CLON  SIDP  SWCM  SCCF  |
| NC005018 | SCBW  CCST  TCMD  LSQL  OFGI  SWQM  HAMD  PRLC  WDIR  "GQCPRMS"3  |
| NC005018 | WSPD  "GQCPRMS"3  "TWIND"4  "MDPT"10                              |
|          |                                                                   |
| NC005020 | BID  RCPTIM  RPID  ICLX  OGCE  SCLF  YYMMDD  HHMM  LTLONH  SELV   |
| NC005020 | TOCC  VSAT  CLAM  VSAT  CLAM  VSAT  METFET  HEIT  HEIT  METFET    |
| NC005020 | {RAWRPT}                                                          |
|          |                                                                   |
| NC005021 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005021 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005022 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005022 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005023 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005023 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005024 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005024 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005024 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005024 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005025 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005025 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005025 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005025 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005026 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005026 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005026 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005026 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005041 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005041 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005042 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005042 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005043 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005043 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005044 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005044 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005044 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005044 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005045 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005045 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
